S.no,Name,Party,Constituency
2,Mr Aftab Ahmad Khan Sherpao,QWP-S,NA-8
3,Mr Amir Haider Khan,ANP,NA-9
4,Sardar Muhammad Shafqat Hayat Khan,PML(N),NA-68
5,Muhammad Asim Nazir,PML(N),NA-77
6,Rana Muhammad Afzal Khan,PML(N),NA-82
7,Sahibzada Muhammad Nazeer Sultan,PML(N),NA-90
10,Makhdoom Shah Mahmood Hussain Qureshi,PTI,NA-150
11,Muhammad Khan Daha,PML(N),NA-157
12,Mian Najeebuddin Awaisi,PML(N),NA-184
13,Ghous Bux Khan Mahar,PML-F,NA-203
14,Asghar Ali Shah,PPPP,NA-212
15,Doctor Muhammad Farooq Sattar,MQM,NA-249
16,Mahmood Khan Achakzai,PMAP,NA-259
17,Ms. Nafisa Shah,PPPP,(Women)
18,Naeema Kishwar Khan,JUI-F,(Women)
19,Tahmina Daultana,PML(N),(Women)
20,Dr. Shireen Mehrunnisa Mazari,PTI,(Women)
