S.no,Name,Party,Constituency
1,Dr. Ramesh Kumar Vankwani (Chairman),PML(N),(Minority)
3,Mr. Sar Zamin Khan,PML(N),NA-23
4,Sahibzada Muhammad Yaqub,JI,NA-34
5,Ch Asad Ur Rehman,PML(N),NA-94
6,Nawabzada Mazher Ali,PML(N),NA-104
7,Dr. Shezra Mansab Ali Khan Kharal,PML(N),NA-137
8,Mohammad Raza Hayat Harraj,PML(N),NA-156
9,Chaudhary Muhammad Ashraf,PML(N),NA-161
10,Jamshed Ahmad Dasti,IND,NA-178
11,Syed Muhammad Asghar,PML(N),NA-188
12,Makhdoom Syed Mustafa Mehmood,PPPP,NA-195
14,Iqbal Muhammad Ali Khan,MQM,NA-256
15,Engineer Mohammad Usman Badaini,IND,NA-260
16,Ms. Nafisa Shah,PPPP,(Women)
17,Lal Chand Malhi,PTI,(Minority)
18,Romina Khurshid Alam,PML(N),(Women)
19,Sabiha Nazir,PML(N),(Women)
